p1_sets,p2_sets,sub_set,game_no,p1_games,p2_games,sub_game,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,sub_point,game_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,player1_quality,player2_quality,elo1,elo2,sub_point_squared,serve_no_squared,elo1_squared,elo2_squared,player1_quality_squared,player2_quality_squared,lasso_game_victor,player1_performance,player2_performance
0,0,0,2,1,0,1,2,2,2,1,2,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314115308,0.685884692,0.544105651,0.455894349,1,1,0.587530209,0.412469791,0.173374355,0.826625645,0.131563776,0.998620629,0.001379363
0,0,0,2,1,0,1,2,3,2,2,1,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314115308,0.685884692,0.532936242,0.467063758,4,4,0.565587886,0.434412114,0.173374355,0.826625645,0.271142029,0.998458743,0.001541297
0,0,0,2,1,0,1,3,3,2,1,2,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314115308,0.685884692,0.536342808,0.463657192,1,1,0.572303622,0.427696378,0.173374355,0.826625645,0.118105694,0.998186886,0.001813125
0,0,0,2,1,0,1,3,4,2,1,2,9,9,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.314115308,0.685884692,0.525757414,0.474242586,0,1,0.551378481,0.448621519,0.173374355,0.826625645,0.012264476,0.027375855,0.972624123
0,0,0,3,1,1,0,0,0,1,1,1,10,9,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.719649562,0.280350438,0.516110412,0.483889588,1,1,0.532187407,0.467812593,0.86823564,0.13176436,0.876679579,0.092397019,0.907603025
0,0,0,3,1,1,0,1,0,1,1,1,11,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.719649562,0.280350438,0.521153362,0.478846638,4,1,0.542231136,0.457768864,0.86823564,0.13176436,0.968947338,0.000397425,0.999602616
0,0,0,3,1,1,0,2,0,1,1,2,11,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.719649562,0.280350438,0.525669304,0.474330696,1,1,0.551203652,0.448796348,0.86823564,0.13176436,0.824510592,0.090156108,0.909843922
0,0,0,3,1,1,0,2,1,1,1,1,12,10,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.719649562,0.280350438,0.516030766,0.483969234,4,1,0.532028608,0.467971392,0.86823564,0.13176436,0.955489257,0.000364544,0.999635458
0,0,0,3,1,1,0,3,1,1,2,1,13,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.719649562,0.280350438,0.521082249,0.478917751,9,4,0.542089668,0.457910332,0.86823564,0.13176436,1.056241226,0.923345625,0.076654404
0,0,0,4,2,1,1,0,0,2,2,2,13,11,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.334038055,0.665961945,0.525605428,0.474394572,4,4,0.551076904,0.448923096,0.201016193,0.798983807,0.174756405,0.996106327,0.003893643
0,0,0,4,2,1,1,0,1,2,1,2,13,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334038055,0.665961945,0.515973032,0.484026968,1,1,0.531913495,0.468086505,0.201016193,0.798983807,0.060430976,0.999379635,0.000620395
0,0,0,4,2,1,1,0,2,2,1,2,13,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334038055,0.665961945,0.507323226,0.492676774,0,1,0.514643311,0.485356689,0.201016193,0.798983807,-0.045410242,0.999058425,0.000941528
0,0,0,4,2,1,1,0,3,2,1,2,13,14,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334038055,0.665961945,0.499630597,0.500369403,1,1,0.499261195,0.500738805,0.201016193,0.798983807,-0.151366838,0.199384004,0.800616026
0,0,0,5,2,2,0,0,0,1,1,1,14,14,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693498452,0.306501548,0.492819387,0.507180613,0,1,0.485641735,0.514358265,0.836587358,0.163412642,0.869665836,0.089684583,0.910315394
0,0,0,5,2,2,0,1,0,1,1,1,15,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693498452,0.306501548,0.500495838,0.499504162,1,1,0.500991676,0.499008324,0.836587358,0.163412642,0.962048972,0.001156719,0.998843193
0,0,0,5,2,2,0,2,0,1,1,1,16,14,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.693498452,0.306501548,0.507292493,0.492707507,4,1,0.514581884,0.485418116,0.836587358,0.163412642,1.054316731,0.000407588,0.999592483
0,0,0,5,2,2,0,3,0,1,2,2,16,15,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.693498452,0.306501548,0.513310827,0.486689173,1,4,0.5266028,0.4733972,0.836587358,0.163412642,0.918479573,0.000360521,0.999639511
0,0,0,5,2,2,0,3,1,1,2,2,16,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693498452,0.306501548,0.504949661,0.495050339,0,4,0.509898351,0.490101649,0.836587358,0.163412642,0.812638355,0.00235228,0.997647703
0,0,0,5,2,2,0,3,2,1,1,2,16,17,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.693498452,0.306501548,0.497527381,0.502472619,1,1,0.495054882,0.504945118,0.836587358,0.163412642,0.698082171,0.068583108,0.931416929
0,0,0,5,2,2,0,3,3,1,2,1,17,17,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.693498452,0.306501548,0.490958149,0.509041851,0,4,0.48192221,0.51807779,0.836587358,0.163412642,0.83789118,0.723867953,0.276132077
0,0,0,5,2,2,0,4,3,1,1,1,18,17,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.693498452,0.306501548,0.498844938,0.501155062,1,1,0.497689887,0.502310113,0.836587358,0.163412642,0.921674728,0.73889333,0.26110667
0,0,0,6,3,2,1,0,0,2,1,2,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360315893,0.639684107,0.505831641,0.494168359,0,1,0.511661696,0.488338304,0.240857015,0.759142985,0.173410441,0.936177254,0.063822769
0,0,0,6,3,2,1,0,1,2,2,1,19,18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.360315893,0.639684107,0.498308649,0.501691351,1,4,0.496617337,0.503382663,0.240857015,0.759142985,0.313104072,0.731525302,0.268474668
0,0,0,6,3,2,1,1,1,2,1,2,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360315893,0.639684107,0.50535706,0.49464294,0,1,0.510712889,0.489287111,0.240857015,0.759142985,0.159952359,0.933488846,0.066511199
0,0,0,6,3,2,1,1,2,2,1,2,19,20,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360315893,0.639684107,0.497888226,0.502111774,1,1,0.495776528,0.504223472,0.240857015,0.759142985,0.053995764,0.998740017,0.00126001
0,0,0,6,3,2,1,1,3,2,2,2,19,21,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360315893,0.639684107,0.491277512,0.508722488,4,4,0.482560332,0.517439668,0.240857015,0.759142985,-0.043476621,0.088006511,0.911993444
0,0,0,7,3,3,0,0,0,1,2,1,20,21,-1,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.694668821,0.305331179,0.485420862,0.514579138,1,4,0.470866493,0.529133507,0.838088849,0.161911151,0.878589385,0.002325055,0.997675002
0,0,0,7,3,3,0,1,0,1,1,1,21,21,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.694668821,0.305331179,0.493920315,0.506079685,0,1,0.487842428,0.512157572,0.838088849,0.161911151,0.962488311,0.000442883,0.999557078
0,0,0,7,3,3,0,2,0,1,1,1,22,21,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694668821,0.305331179,0.50147158,0.49852842,1,1,0.502943135,0.497056865,0.838088849,0.161911151,1.054871448,0.000421783,0.999578178
0,0,0,7,3,3,0,3,0,1,2,2,22,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694668821,0.305331179,0.508155932,0.491844068,0,4,0.516307525,0.483692475,0.838088849,0.161911151,0.918918912,0.000384269,0.999615669
0,0,0,7,3,3,0,3,1,1,2,1,23,22,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.694668821,0.305331179,0.500369038,0.499630962,1,4,0.500738075,0.499261925,0.838088849,0.161911151,1.050012955,0.886141419,0.113858618
0,0,0,8,4,3,1,0,0,2,1,2,23,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.7,0.50718029,0.49281971,0,1,0.514357619,0.485642381,0.155172414,0.844827586,0.156479707,0.970861912,0.029138053
0,0,0,8,4,3,1,0,1,2,2,1,24,23,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.3,0.7,0.499503875,0.500496125,1,4,0.499007752,0.500992248,0.155172414,0.844827586,0.296173338,0.415837914,0.584162116
0,0,0,8,4,3,1,1,1,2,1,2,24,24,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.7,0.506414731,0.493585269,0,1,0.512827351,0.487172649,0.155172414,0.844827586,0.143021625,0.719630778,0.280369222
0,0,0,8,4,3,1,1,2,2,2,1,25,24,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3,0.7,0.498825315,0.501174685,1,4,0.497650642,0.502349358,0.155172414,0.844827586,0.282715256,0.599098742,0.400901228
0,0,0,8,4,3,1,2,2,2,2,1,26,24,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0.7,0.505814276,0.494185724,4,4,0.51162698,0.48837302,0.155172414,0.844827586,0.374983015,0.047915235,0.952084839
0,0,0,8,4,3,1,3,2,2,2,1,27,24,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.3,0.7,0.512000742,0.487999258,9,4,0.523987666,0.476012334,0.155172414,0.844827586,0.812010637,0.000815254,0.999184787
0,0,0,9,5,3,2,0,0,1,1,1,28,24,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748427673,0.251572327,0.517491261,0.482508739,16,1,0.534939763,0.465060237,0.898483599,0.101516401,0.909854976,0.001029851,0.998970151
0,0,0,9,5,3,2,1,0,1,2,2,28,25,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748427673,0.251572327,0.522387259,0.477612741,9,4,0.544684936,0.455315064,0.898483599,0.101516401,0.774248572,0.012172109,0.987827897
0,0,0,9,5,3,2,1,1,1,1,1,29,25,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748427673,0.251572327,0.513071093,0.486928907,16,1,0.526124332,0.473875668,0.898483599,0.101516401,0.896396894,0.001357238,0.998642743
0,0,0,9,5,3,2,2,1,1,1,2,29,26,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.748427673,0.251572327,0.518443692,0.481556308,9,1,0.536837261,0.463162739,0.898483599,0.101516401,0.752190903,0.240178108,0.759821892
0,0,0,9,5,3,2,2,2,1,1,1,30,26,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.748427673,0.251572327,0.509531974,0.490468026,16,1,0.519057022,0.480942978,0.898483599,0.101516401,0.882938813,0.000924793,0.999075174
0,0,0,9,5,3,2,3,2,1,1,2,30,27,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.748427673,0.251572327,0.515297587,0.484702413,9,1,0.530566561,0.469433439,0.898483599,0.101516401,0.738732821,0.00052633,0.999473751
0,0,0,9,5,3,2,3,3,1,1,1,31,27,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.748427673,0.251572327,0.506720417,0.493279583,16,1,0.513438406,0.486561594,0.898483599,0.101516401,0.869480731,0.007654927,0.992345035
0,0,0,9,5,3,2,4,3,1,2,2,31,28,3,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.748427673,0.251572327,0.512803709,0.487196291,9,4,0.525590638,0.474409362,0.898483599,0.101516401,0.733874328,0.000397613,0.999602377
0,0,0,9,5,3,2,3,3,1,1,2,31,29,2,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.748427673,0.251572327,0.504498205,0.495501795,4,1,0.508995682,0.491004318,0.898483599,0.101516401,0.633450836,0.000452079,0.999547899
0,0,0,9,5,3,2,3,4,1,1,1,32,29,3,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.748427673,0.251572327,0.497127575,0.502872425,9,1,0.494255339,0.505744661,0.898483599,0.101516401,0.716070674,0.00148223,0.998517811
0,0,0,9,5,3,2,3,3,1,1,1,33,29,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748427673,0.251572327,0.504311758,0.495688242,16,1,0.508622874,0.491377126,0.898483599,0.101516401,0.870137687,0.02317171,0.976828337
0,0,0,9,5,3,2,4,3,1,1,1,34,29,5,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.748427673,0.251572327,0.510669953,0.489330047,25,1,0.521330193,0.478669807,0.898483599,0.101516401,0.962059313,0.999489546,0.000510384
1,0,1,1,0,0,0,0,0,2,1,2,34,30,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395393474,0.604606526,0.516308256,0.483691744,16,1,0.53258185,0.46741815,0.299560218,0.700439782,0.184718158,0.889368594,0.110631436
1,0,1,1,0,0,0,0,1,2,1,2,34,31,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395393474,0.604606526,0.507622559,0.492377441,9,1,0.515241576,0.484758424,0.299560218,0.700439782,0.079223073,0.998813152,0.001186868
1,0,1,1,0,0,0,0,2,2,1,2,34,32,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.395393474,0.604606526,0.499896006,0.500103994,4,1,0.499792011,0.500207989,0.299560218,0.700439782,-0.02638739,0.999246359,0.000753714
1,0,1,1,0,0,0,0,3,2,1,2,34,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395393474,0.604606526,0.49305424,0.50694576,1,1,0.486111159,0.513888841,0.299560218,0.700439782,-0.132113231,0.438187003,0.561812937
1,0,1,2,0,1,-1,0,0,1,1,1,35,33,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738372093,0.261627907,0.486996552,0.513003448,4,1,0.474010682,0.525989318,0.888454335,0.111545665,0.879119297,0.393446654,0.606553316
1,0,1,2,0,1,-1,1,0,1,2,1,36,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738372093,0.261627907,0.495324004,0.504675996,9,4,0.490648826,0.509351174,0.888454335,0.111545665,0.979871267,0.223171607,0.776828408
1,0,1,2,0,1,-1,2,0,1,2,2,36,34,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738372093,0.261627907,0.502714982,0.497285018,4,4,0.505429805,0.494570195,0.888454335,0.111545665,0.835549898,0.400924385,0.599075615
1,0,1,2,0,1,-1,2,1,1,1,2,36,35,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.738372093,0.261627907,0.495548886,0.504451114,1,1,0.491098478,0.508901522,0.888454335,0.111545665,0.721224469,0.931328177,0.068671837
1,0,1,2,0,1,-1,2,2,1,1,1,37,35,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738372093,0.261627907,0.489206648,0.510793352,4,1,0.47842335,0.52157665,0.888454335,0.111545665,0.852203134,0.747252584,0.252747387
1,0,1,2,0,1,-1,3,2,1,2,2,37,36,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.738372093,0.261627907,0.497289578,0.502710422,1,4,0.494579316,0.505420684,0.888454335,0.111545665,0.716365976,0.752536178,0.247463822
1,0,1,2,0,1,-1,3,3,1,2,2,37,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.738372093,0.261627907,0.490747673,0.509252327,0,4,0.48150168,0.51849832,0.888454335,0.111545665,0.610524757,0.7846542,0.21534583
1,0,1,2,0,1,-1,3,4,1,1,2,37,38,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.738372093,0.261627907,0.484950653,0.515049347,1,1,0.469928548,0.530071452,0.888454335,0.111545665,0.228261801,0.938175619,0.061824441
1,0,1,3,0,2,-2,0,0,2,1,2,37,39,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383561644,0.616438356,0.479793545,0.520206455,4,1,0.459652984,0.540347016,0.279102884,0.720897116,0.153577122,0.740569234,0.259430707
1,0,1,3,0,2,-2,0,1,2,1,2,37,40,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383561644,0.616438356,0.475180752,0.524819248,9,1,0.450483513,0.549516487,0.279102884,0.720897116,0.047389771,0.999229431,0.00077057
1,0,1,3,0,2,-2,0,2,2,1,2,37,41,-4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383561644,0.616438356,0.471029633,0.528970367,16,1,0.442253129,0.557746871,0.279102884,0.720897116,-0.058912957,0.998990238,0.001009732
1,0,1,3,0,2,-2,0,3,2,2,2,37,42,-5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.383561644,0.616438356,0.467270696,0.532729304,25,4,0.434820674,0.565179326,0.279102884,0.720897116,-0.156731475,0.018136486,0.981863499
1,0,1,4,0,3,-3,0,0,1,2,2,37,43,-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740061162,0.259938838,0.4638463,0.5361537,36,4,0.428068683,0.571931317,0.890179209,0.109820791,0.621536539,0.082620651,0.91737932
1,0,1,4,0,3,-3,0,1,1,1,1,38,43,-5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740061162,0.259938838,0.460708873,0.539291127,25,1,0.421900026,0.578099974,0.890179209,0.109820791,0.74472326,0.089932889,0.910067081
1,0,1,4,0,3,-3,1,1,1,1,1,39,43,-4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740061162,0.259938838,0.471526624,0.528473376,16,1,0.443237325,0.556762675,0.890179209,0.109820791,0.837683284,0.384578317,0.615421653
1,0,1,4,0,3,-3,2,1,1,1,2,39,44,-5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740061162,0.259938838,0.481429441,0.518570559,25,1,0.462910047,0.537089953,0.890179209,0.109820791,0.692554272,0.038225569,0.961774409
1,0,1,4,0,3,-3,2,2,1,2,2,39,45,-6,1,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.740061162,0.259938838,0.476646963,0.523353037,36,4,0.453395592,0.546604408,0.890179209,0.109820791,0.594620376,0.774371386,0.225628614
1,0,1,4,0,3,-3,2,3,1,2,1,40,45,-5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.740061162,0.259938838,0.472351919,0.527648081,25,4,0.444872399,0.555127601,0.890179209,0.109820791,0.678163235,0.036626089,0.963373899
1,0,1,4,0,3,-3,3,3,1,1,1,41,45,-4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.740061162,0.259938838,0.482178058,0.517821942,16,1,0.464401344,0.535598656,0.890179209,0.109820791,0.810767121,0.078681357,0.92131865
1,0,1,4,0,3,-3,4,3,1,2,1,42,45,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740061162,0.259938838,0.491024447,0.508975553,9,4,0.482054676,0.517945324,0.890179209,0.109820791,0.912211357,0.994691551,0.005308401
1,0,1,5,1,3,-2,0,0,2,1,2,42,46,-4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339528234,0.660471766,0.498903775,0.501096225,16,1,0.49780756,0.50219244,0.20902797,0.79097203,0.137373596,0.987001538,0.012998466
1,0,1,5,1,3,-2,0,1,2,1,2,42,47,-5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.339528234,0.660471766,0.492176229,0.507823771,25,1,0.484356288,0.515643712,0.20902797,0.79097203,0.03095549,0.998835623,0.001164386
1,0,1,5,1,3,-2,0,2,2,2,1,43,47,-4,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.339528234,0.660471766,0.486218085,0.513781915,16,4,0.472457096,0.527542904,0.20902797,0.79097203,0.171226009,0.999445856,0.000554133
1,0,1,5,1,3,-2,1,2,2,1,1,44,47,-3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.339528234,0.660471766,0.494630773,0.505369227,9,1,0.489262784,0.510737216,0.20902797,0.79097203,0.255471068,0.937086403,0.062913574
1,0,1,5,1,3,-2,2,2,2,1,1,45,47,-2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.339528234,0.660471766,0.502100996,0.497899004,4,1,0.504201918,0.495798082,0.20902797,0.79097203,0.348200338,0.537564814,0.462435126
1,0,1,5,1,3,-2,3,2,2,1,2,45,48,-3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0.339528234,0.660471766,0.508712949,0.491287051,9,1,0.517420609,0.482579391,0.20902797,0.79097203,0.259954364,0.998871505,0.001128497
1,0,1,5,1,3,-2,3,3,2,2,1,46,48,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339528234,0.660471766,0.500863197,0.499136803,4,4,0.501726389,0.498273611,0.20902797,0.79097203,0.343341844,0.987683713,0.012316341
1,0,1,5,1,3,-2,4,3,2,1,2,46,49,-3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0.339528234,0.660471766,0.507617564,0.492382436,9,1,0.515231592,0.484768408,0.20902797,0.79097203,0.246496282,0.932800949,0.067199096
