p1_sets,p2_sets,sub_set,game_no,p1_games,p2_games,sub_game,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,sub_point,game_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,player1_quality,player2_quality,elo1,elo2,sub_point_squared,serve_no_squared,elo1_squared,elo2_squared,player1_quality_squared,player2_quality_squared
0,0,0,5,2,2,0,2,2,1,1,1,16,14,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.620136966,0.379863034,0.496988983,0.503011017,4,1,0.493978184,0.506021816,0.727159651,0.272840349
0,0,0,5,2,2,0,3,2,1,1,1,17,14,3,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.620136966,0.379863034,0.503135944,0.496864056,9,1,0.50627164,0.49372836,0.727159651,0.272840349
0,0,0,6,3,2,1,0,0,2,1,2,17,15,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416832175,0.583167825,0.508576087,0.491423913,4,1,0.517147129,0.482852871,0.338142548,0.661857452
0,0,0,6,3,2,1,0,1,2,2,1,18,15,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.416832175,0.583167825,0.501797438,0.498202562,9,4,0.503594829,0.496405171,0.338142548,0.661857452
0,0,0,6,3,2,1,1,1,2,2,1,19,15,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.416832175,0.583167825,0.507391304,0.492608696,16,4,0.514779379,0.485220621,0.338142548,0.661857452
0,0,0,6,3,2,1,2,1,2,1,2,19,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416832175,0.583167825,0.512347118,0.487652882,9,1,0.524679186,0.475320814,0.338142548,0.661857452
0,0,0,6,3,2,1,2,2,2,2,2,19,17,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.416832175,0.583167825,0.505152675,0.494847325,4,4,0.510304256,0.489695744,0.338142548,0.661857452
0,0,0,6,3,2,1,2,3,2,1,2,19,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416832175,0.583167825,0.498760795,0.501239205,1,1,0.497521604,0.502478396,0.338142548,0.661857452
0,0,0,7,3,3,0,0,0,1,1,2,19,19,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.614285714,0.385714286,0.493102718,0.506897282,0,1,0.486208061,0.513791939,0.717222653,0.282777347
0,0,0,7,3,3,0,0,1,1,1,1,20,19,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.614285714,0.385714286,0.488091157,0.511908843,1,1,0.476195818,0.523804182,0.717222653,0.282777347
0,0,0,7,3,3,0,1,1,1,2,1,21,19,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.614285714,0.385714286,0.495237956,0.504762044,4,4,0.490476776,0.509523224,0.717222653,0.282777347
0,0,0,7,3,3,0,2,1,1,1,1,22,19,3,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.614285714,0.385714286,0.501585296,0.498414704,9,1,0.503170561,0.496829439,0.717222653,0.282777347
0,0,0,7,3,3,0,3,1,1,1,1,23,19,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.614285714,0.385714286,0.507203559,0.492796441,16,1,0.514404128,0.485595872,0.717222653,0.282777347
0,0,0,8,4,3,1,0,0,2,2,1,24,19,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.322580645,0.677419355,0.51218054,0.48781946,25,4,0.524346632,0.475653368,0.184842884,0.815157116
0,0,0,8,4,3,1,1,0,2,1,2,24,20,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.322580645,0.677419355,0.516605616,0.483394384,16,1,0.53317464,0.46682536,0.184842884,0.815157116
0,0,0,8,4,3,1,1,1,2,1,2,24,21,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322580645,0.677419355,0.508959447,0.491040553,9,1,0.517913142,0.482086858,0.184842884,0.815157116
0,0,0,8,4,3,1,1,2,2,1,1,25,21,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322580645,0.677419355,0.502137973,0.497862027,16,1,0.504275867,0.495724133,0.184842884,0.815157116
0,0,0,8,4,3,1,2,2,2,1,1,26,21,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.322580645,0.677419355,0.507692694,0.492307306,25,1,0.515381746,0.484618254,0.184842884,0.815157116
0,0,0,8,4,3,1,3,2,2,2,1,27,21,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.322580645,0.677419355,0.512614574,0.487385426,36,4,0.5252131,0.4747869,0.184842884,0.815157116
0,0,0,9,5,3,2,0,0,1,2,1,28,21,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.690522244,0.309477756,0.516992587,0.483007413,49,4,0.533945967,0.466054033,0.832733308,0.167266692
0,0,0,9,5,3,2,1,0,1,2,1,29,21,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.690522244,0.309477756,0.520907908,0.479092092,64,4,0.541742825,0.458257175,0.832733308,0.167266692
0,0,0,9,5,3,2,2,0,1,1,1,30,21,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.690522244,0.309477756,0.524430782,0.475569218,81,1,0.548745188,0.451254812,0.832733308,0.167266692
0,0,0,9,5,3,2,3,0,1,1,1,31,21,10,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.690522244,0.309477756,0.527620308,0.472379692,100,1,0.555072561,0.444927439,0.832733308,0.167266692
1,0,1,1,0,0,0,0,0,2,1,2,31,22,9,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573650855,0.426349145,0.530525517,0.469474483,81,1,0.560824328,0.439175672,0.644173463,0.355826537
1,0,1,1,0,0,0,0,1,2,2,2,31,23,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573650855,0.426349145,0.521585446,0.478414554,64,4,0.543090583,0.456909417,0.644173463,0.355826537
1,0,1,1,0,0,0,0,2,2,1,2,31,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573650855,0.426349145,0.513441262,0.486558738,49,1,0.526863111,0.473136889,0.644173463,0.355826537
1,0,1,1,0,0,0,0,3,2,2,2,31,25,6,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573650855,0.426349145,0.506128758,0.493871242,36,4,0.512255675,0.487744325,0.644173463,0.355826537
1,0,1,2,0,1,-1,0,0,1,1,1,32,25,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577797998,0.422202002,0.499625902,0.500374098,49,1,0.499251804,0.500748196,0.651918043,0.348081957
1,0,1,2,0,1,-1,1,0,1,2,2,32,26,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.577797998,0.422202002,0.505469687,0.494530313,36,4,0.510938066,0.489061934,0.651918043,0.348081957
1,0,1,2,0,1,-1,1,1,1,1,1,33,26,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577797998,0.422202002,0.499041712,0.500958288,49,1,0.498083431,0.501916569,0.651918043,0.348081957
1,0,1,2,0,1,-1,2,1,1,2,2,33,27,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.577797998,0.422202002,0.504952742,0.495047258,36,4,0.509904512,0.490095488,0.651918043,0.348081957
1,0,1,2,0,1,-1,2,2,1,2,2,33,28,5,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.577797998,0.422202002,0.49858365,0.50141635,25,4,0.497167322,0.502832678,0.651918043,0.348081957
1,0,1,2,0,1,-1,2,3,1,1,1,34,28,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.577797998,0.422202002,0.492945953,0.507054047,36,1,0.485894714,0.514105286,0.651918043,0.348081957
1,0,1,2,0,1,-1,3,3,1,1,1,35,28,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577797998,0.422202002,0.499553532,0.500446468,49,1,0.499107065,0.500892935,0.651918043,0.348081957
1,0,1,2,0,1,-1,4,3,1,1,2,35,29,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.577797998,0.422202002,0.505405649,0.494594351,36,1,0.510810034,0.489189966,0.651918043,0.348081957
1,0,1,2,0,1,-1,3,3,1,1,1,36,29,7,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.577797998,0.422202002,0.498984961,0.501015039,49,1,0.49796993,0.50203007,0.651918043,0.348081957
1,0,1,2,0,1,-1,4,3,1,1,1,37,29,8,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577797998,0.422202002,0.504902522,0.495097478,64,1,0.509804102,0.490195898,0.651918043,0.348081957
1,0,1,3,1,1,0,0,0,2,2,2,37,30,7,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432989691,0.567010309,0.510140589,0.489859411,49,4,0.52027284,0.47972716,0.368344122,0.631655878
1,0,1,3,1,1,0,0,1,2,1,1,38,30,8,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.432989691,0.567010309,0.503187907,0.496812093,64,1,0.506375555,0.493624445,0.368344122,0.631655878
1,0,1,3,1,1,0,1,1,2,2,1,39,30,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.432989691,0.567010309,0.508622091,0.491377909,81,4,0.517239056,0.482760944,0.368344122,0.631655878
1,0,1,3,1,1,0,2,1,2,1,1,40,30,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.432989691,0.567010309,0.51343973,0.48656027,100,1,0.526860054,0.473139946,0.368344122,0.631655878
1,0,1,3,1,1,0,3,1,2,1,2,40,31,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.432989691,0.567010309,0.517728824,0.482271176,81,1,0.535413124,0.464586876,0.368344122,0.631655878
1,0,1,3,1,1,0,3,2,2,1,2,40,32,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.432989691,0.567010309,0.509967267,0.490032733,64,1,0.519926615,0.480073385,0.368344122,0.631655878
1,0,1,3,1,1,0,3,3,2,2,1,41,32,9,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.432989691,0.567010309,0.503033765,0.496966235,81,4,0.506067306,0.493932694,0.368344122,0.631655878
1,0,1,3,1,1,0,4,3,2,2,1,42,32,10,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0.432989691,0.567010309,0.508485628,0.491514372,100,4,0.516966369,0.483033631,0.368344122,0.631655878
1,0,1,4,2,1,1,0,0,1,2,1,43,32,11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.530469092,0.469530908,0.513318533,0.486681467,121,4,0.52661818,0.47338182,0.560712731,0.439287269
1,0,1,4,2,1,1,1,0,1,1,1,44,32,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.530469092,0.469530908,0.517620641,0.482379359,144,1,0.535197568,0.464802432,0.560712731,0.439287269
1,0,1,4,2,1,1,2,0,1,2,2,44,33,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.530469092,0.469530908,0.521471557,0.478528443,121,4,0.542864067,0.457135933,0.560712731,0.439287269
1,0,1,4,2,1,1,2,1,1,1,2,44,34,10,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.530469092,0.469530908,0.513338355,0.486661645,100,1,0.526657739,0.473342261,0.560712731,0.439287269
1,0,1,4,2,1,1,2,2,1,1,1,45,34,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.530469092,0.469530908,0.5060369,0.4939631,121,1,0.512072039,0.487927961,0.560712731,0.439287269
1,0,1,4,2,1,1,3,2,1,1,1,46,34,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.530469092,0.469530908,0.511145899,0.488854101,144,1,0.522280727,0.477719273,0.560712731,0.439287269
1,0,1,5,3,1,2,0,0,2,1,2,46,35,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5471794,0.4528206,0.515683927,0.484316073,121,1,0.53133702,0.46866298,0.593526083,0.406473917
1,0,1,5,3,1,2,0,1,2,1,2,46,36,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5471794,0.4528206,0.508133679,0.491866321,100,1,0.516263055,0.483736945,0.593526083,0.406473917
1,0,1,5,3,1,2,0,2,2,1,2,46,37,9,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.5471794,0.4528206,0.501404589,0.498595411,81,1,0.502809156,0.497190844,0.593526083,0.406473917
1,0,1,5,3,1,2,0,3,2,1,2,46,38,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5471794,0.4528206,0.495442205,0.504557795,64,1,0.490885168,0.509114832,0.593526083,0.406473917
1,0,1,6,3,2,1,0,0,1,1,1,47,38,9,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.505316172,0.494683828,0.490164797,0.509835203,81,1,0.480337203,0.519662797,0.510631143,0.489368857
1,0,1,6,3,2,1,1,0,1,1,1,48,38,10,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.505316172,0.494683828,0.497083667,0.502916333,100,1,0.494167533,0.505832467,0.510631143,0.489368857
1,0,1,6,3,2,1,2,0,1,1,1,49,38,11,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.505316172,0.494683828,0.503219765,0.496780235,121,1,0.506439262,0.493560738,0.510631143,0.489368857
1,0,1,6,3,2,1,3,0,1,2,1,50,38,12,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.505316172,0.494683828,0.508650296,0.491349704,144,4,0.517295415,0.482704585,0.510631143,0.489368857
1,0,1,7,4,2,2,0,0,2,1,1,51,38,13,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.424778761,0.575221239,0.513464781,0.486535219,169,1,0.526910047,0.473089953,0.352887119,0.647112881
1,0,1,7,4,2,2,1,0,2,1,2,51,39,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424778761,0.575221239,0.517751186,0.482248814,144,1,0.535457681,0.464542319,0.352887119,0.647112881
1,0,1,7,4,2,2,1,1,2,1,2,51,40,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424778761,0.575221239,0.50998735,0.49001265,121,1,0.519966733,0.480033267,0.352887119,0.647112881
1,0,1,7,4,2,2,1,2,2,2,1,52,40,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424778761,0.575221239,0.503051624,0.496948376,144,4,0.506103021,0.493896979,0.352887119,0.647112881
1,0,1,7,4,2,2,2,2,2,1,2,52,41,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.424778761,0.575221239,0.508501438,0.491498562,121,1,0.516997962,0.483002038,0.352887119,0.647112881
1,0,1,7,4,2,2,2,3,2,1,2,52,42,10,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.424778761,0.575221239,0.501731141,0.498268859,100,1,0.503462241,0.496537759,0.352887119,0.647112881
1,0,1,8,4,3,1,0,0,1,1,1,53,42,11,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568957232,0.431042768,0.495731199,0.504268801,121,1,0.491463019,0.508536981,0.635340239,0.364659761
1,0,1,8,4,3,1,1,0,1,1,1,54,42,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568957232,0.431042768,0.502022206,0.497977794,144,1,0.504044347,0.495955653,0.635340239,0.364659761
1,0,1,8,4,3,1,2,0,1,2,1,55,42,13,1,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.568957232,0.431042768,0.507590233,0.492409767,169,4,0.515176968,0.484823032,0.635340239,0.364659761
1,0,1,8,4,3,1,3,0,1,1,1,56,42,14,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.568957232,0.431042768,0.512523642,0.487476358,196,1,0.525031581,0.474968419,0.635340239,0.364659761
1,0,1,9,5,3,2,0,0,2,1,1,57,42,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.373801917,0.626198083,0.516911499,0.483088501,225,1,0.533784349,0.466215651,0.262719509,0.737280491
1,0,1,9,5,3,2,1,0,2,1,1,58,42,16,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373801917,0.626198083,0.520835173,0.479164827,256,1,0.541598114,0.458401886,0.262719509,0.737280491
1,0,1,9,5,3,2,2,0,2,2,1,59,42,17,1,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.373801917,0.626198083,0.524365134,0.475634866,289,4,0.548614826,0.451385174,0.262719509,0.737280491
1,0,1,9,5,3,2,3,0,2,1,2,59,43,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.373801917,0.626198083,0.52756069,0.47243931,256,1,0.554954409,0.445045591,0.262719509,0.737280491
1,0,1,9,5,3,2,3,1,2,1,2,59,44,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.373801917,0.626198083,0.518869622,0.481130378,225,1,0.537685571,0.462314429,0.262719509,0.737280491
1,0,1,9,5,3,2,3,2,2,2,1,60,44,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.373801917,0.626198083,0.510992637,0.489007363,256,4,0.521974653,0.478025347,0.262719509,0.737280491
2,0,2,1,0,0,0,0,0,1,1,1,61,44,17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.510708402,0.489291598,0.515547485,0.484452515,289,1,0.531064934,0.468935066,0.521406985,0.478593015
2,0,2,1,0,0,0,1,0,1,1,1,62,44,18,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.510708402,0.489291598,0.519612961,0.480387039,324,1,0.53916566,0.46083434,0.521406985,0.478593015
2,0,2,1,0,0,0,2,0,1,1,1,63,44,19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.510708402,0.489291598,0.523263191,0.476736809,361,1,0.546425883,0.453574117,0.521406985,0.478593015
2,0,2,1,0,0,0,3,0,1,2,1,64,44,20,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.510708402,0.489291598,0.526561012,0.473438988,400,4,0.552972538,0.447027462,0.521406985,0.478593015
2,0,2,2,1,0,1,0,0,2,2,1,65,44,21,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.394501964,0.605498036,0.529558747,0.470441253,441,4,0.558911605,0.441088395,0.297996969,0.702003031
