p1_sets,p2_sets,sub_set,p1_games,p2_games,sub_game,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,sub_point,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,nextpoint_victor
0,0,0,5,3,2,15,0,1,2,2,28,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,5,3,2,15,15,1,1,1,29,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,5,3,2,30,15,1,1,2,29,26,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,5,3,2,30,30,1,1,1,30,26,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
0,0,0,5,3,2,40,30,1,1,2,30,27,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,5,3,2,40,40,1,1,1,31,27,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
0,0,0,5,3,2,AD,40,1,2,2,31,28,3,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
0,0,0,5,3,2,40,40,1,1,2,31,29,2,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0,0,0,5,3,2,40,AD,1,1,1,32,29,3,0,0,1,0,B,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
0,0,0,5,3,2,40,40,1,1,1,33,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,5,3,2,AD,40,1,1,1,34,29,5,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2
1,0,1,0,0,0,0,0,2,1,2,34,30,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,0,0,0,0,15,2,1,2,34,31,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,0,0,0,0,30,2,1,2,34,32,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
1,0,1,0,0,0,0,40,2,1,2,34,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,1,-1,0,0,1,1,1,35,33,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,1,-1,15,0,1,2,1,36,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,0,1,-1,30,0,1,2,2,36,34,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,0,1,-1,30,15,1,1,2,36,35,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,1,-1,30,30,1,1,1,37,35,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,0,1,-1,40,30,1,2,2,37,36,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,0,1,-1,40,40,1,2,2,37,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,0,1,-1,40,AD,1,1,2,37,38,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
1,0,1,0,2,-2,0,0,2,1,2,37,39,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,0,2,-2,0,15,2,1,2,37,40,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,0,2,-2,0,30,2,1,2,37,41,-4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,0,2,-2,0,40,2,2,2,37,42,-5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,0,3,-3,0,0,1,2,2,37,43,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,3,-3,0,15,1,1,1,38,43,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,3,-3,15,15,1,1,1,39,43,-4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,0,3,-3,30,15,1,1,2,39,44,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,0,3,-3,30,30,1,2,2,39,45,-6,0,0,0,1,B,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1,0,1,0,3,-3,30,40,1,2,1,40,45,-5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
1,0,1,0,3,-3,40,40,1,1,1,41,45,-4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,3,-3,AD,40,1,2,1,42,45,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,1,3,-2,0,0,2,1,2,42,46,-4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,1,3,-2,0,15,2,1,2,42,47,-5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1,0,1,1,3,-2,0,30,2,2,1,43,47,-4,0,0,1,0,B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,0,1,1,3,-2,15,30,2,1,1,44,47,-3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,1,1,3,-2,30,30,2,1,1,45,47,-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
1,0,1,1,3,-2,40,30,2,1,2,45,48,-3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1
1,0,1,1,3,-2,40,40,2,2,1,46,48,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,1,3,-2,AD,40,2,1,2,46,49,-3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,2
1,0,1,1,3,-2,40,40,2,1,2,46,50,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,1,3,-2,40,AD,2,1,2,46,51,-5,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
1,0,1,1,4,-3,0,0,1,2,2,46,52,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,1,4,-3,0,15,1,1,1,47,52,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,1,4,-3,15,15,1,2,2,47,53,-6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,1,4,-3,15,30,1,1,1,48,53,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,1,4,-3,30,30,1,1,1,49,53,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,1,4,-3,40,30,1,1,2,49,54,-4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,1,4,-3,40,40,1,1,1,50,54,-4,0,0,1,0,B,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1,0,1,1,4,-3,AD,40,1,2,1,51,54,-2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,2,4,-2,0,0,2,1,1,52,54,-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
1,0,1,2,4,-2,15,0,2,1,2,52,55,-3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,2,4,-2,15,15,2,1,2,52,56,-4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,2,4,-2,15,30,2,1,2,52,57,-5,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1,0,1,2,4,-2,15,40,2,1,1,53,57,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,2,4,-2,30,40,2,2,1,54,57,-3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
1,0,1,2,4,-2,40,40,2,2,1,55,57,-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
1,0,1,2,4,-2,AD,40,2,1,2,55,58,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
1,0,1,2,4,-2,40,40,2,1,2,55,59,-4,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1,0,1,2,4,-2,40,AD,2,1,1,56,59,-3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
1,0,1,2,4,-2,40,40,2,2,1,57,59,-2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,0,1,2,4,-2,AD,40,2,1,1,58,59,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
1,0,1,3,4,-1,0,0,1,1,1,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,3,4,-1,15,0,1,2,1,60,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,3,4,-1,30,0,1,2,1,61,59,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
1,0,1,3,4,-1,40,0,1,1,1,62,59,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,4,4,0,0,0,2,1,1,63,59,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,4,4,0,15,0,2,1,2,63,60,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,4,4,0,15,15,2,2,2,63,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,4,4,0,15,30,2,1,2,63,62,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,4,4,0,15,40,2,1,2,63,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,4,5,-1,0,0,1,1,1,64,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,4,5,-1,15,0,1,2,2,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,4,5,-1,15,15,1,2,1,65,64,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,1,4,5,-1,30,15,1,1,1,66,64,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,4,5,-1,40,15,1,1,2,66,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,4,5,-1,40,30,1,1,1,67,65,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,5,5,0,0,0,2,1,2,67,66,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,5,5,0,0,15,2,1,2,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,5,5,0,0,30,2,2,1,68,67,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
1,0,1,5,5,0,15,30,2,1,2,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,5,5,0,15,40,2,2,2,68,69,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,5,6,-1,0,0,1,1,1,69,69,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,5,6,-1,15,0,1,2,1,70,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,5,6,-1,30,0,1,2,1,71,69,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,5,6,-1,40,0,1,1,1,72,69,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1,0,1,6,6,0,0,0,2,1,2,72,70,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,6,6,0,0,1,1,1,1,73,70,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,6,6,0,1,1,1,2,1,74,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,6,6,0,2,1,2,1,2,74,71,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,6,6,0,2,2,2,1,2,74,72,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,6,6,0,2,3,1,1,1,75,72,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1,0,1,6,6,0,3,3,1,1,1,76,72,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,6,6,0,4,3,2,1,2,76,73,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,6,6,0,4,4,2,2,2,76,74,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,6,6,0,4,5,1,1,1,77,74,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,0,1,6,6,0,5,5,1,1,1,78,74,4,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
1,0,1,6,6,0,6,5,2,1,2,78,75,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
1,0,1,6,6,0,6,6,2,1,2,78,76,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,6,6,0,6,7,1,1,2,78,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,1,2,1,79,77,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
1,1,0,0,0,0,15,0,1,2,2,79,78,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1,1,0,0,0,0,15,15,1,2,1,80,78,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,1,0,0,0,0,30,15,1,2,2,80,79,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,30,30,1,1,1,81,79,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,40,30,1,1,1,82,79,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,0,1,0,0,2,1,1,83,79,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
1,1,0,1,0,1,15,0,2,1,2,83,80,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
1,1,0,1,0,1,15,15,2,2,2,83,81,2,0,0,0,1,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,0,1,15,30,2,1,1,84,81,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,0,1,30,30,2,1,1,85,81,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
1,1,0,1,0,1,40,30,2,1,2,85,82,3,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1
1,1,0,1,0,1,40,40,2,2,1,86,82,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
1,1,0,1,0,1,AD,40,2,1,2,86,83,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
1,1,0,1,0,1,40,40,2,1,2,86,84,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,0,1,40,AD,2,2,1,87,84,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
1,1,0,1,0,1,40,40,2,1,2,87,85,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,1,0,1,0,1,40,AD,2,1,2,87,86,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1,1,0,1,1,0,0,0,1,2,1,88,86,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,1,0,15,0,1,1,1,89,86,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,1,0,1,1,0,30,0,1,1,2,89,87,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,1,0,1,1,0,30,15,1,2,2,89,88,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,1,0,30,30,1,2,1,90,88,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,1,0,40,30,1,1,1,91,88,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,2,1,1,0,0,2,2,1,92,88,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
1,1,0,2,1,1,15,0,2,1,1,93,88,5,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1,1,0,2,1,1,30,0,2,2,2,93,89,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,2,1,1,30,15,2,1,1,94,89,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,0,2,1,1,40,15,2,1,1,95,89,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1,1,0,3,1,2,0,0,1,1,1,96,89,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,3,1,2,15,0,1,1,1,97,89,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,3,1,2,30,0,1,2,1,98,89,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
1,1,0,3,1,2,40,0,1,2,2,98,90,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,3,1,2,40,15,1,1,1,99,90,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,4,1,3,0,0,2,2,1,100,90,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
1,1,0,4,1,3,15,0,2,1,2,100,91,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,1,0,4,1,3,15,15,2,2,2,100,92,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,4,1,3,15,30,2,2,1,101,92,9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
1,1,0,4,1,3,30,30,2,2,2,101,93,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,1,0,4,1,3,30,40,2,1,2,101,94,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1,1,0,4,2,2,0,0,1,1,1,102,94,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
