,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,player1_quality,player2_quality,elo1,elo2,predicted_point_victor
10,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:07:05,1,2,11,0,0,1,0,0,0,2,1,2,6,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.785,4.915,1,112.0,W,CTL,D,2.6333333333333333,5.75,1646.8245979627875,1271.2906810857028,2
11,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:07:28,1,2,12,0,0,1,0,0,15,2,1,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.744,18.244,4,130.0,W,NCTL,D,2.6333333333333333,5.75,1610.9541420275739,1307.1611370209164,2
12,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:08:06,1,2,13,0,0,1,0,15,15,2,1,1,8,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26.013,18.626,4,120.0,C,NCTL,D,2.6333333333333333,5.75,1616.8822224808157,1301.2330565676746,2
13,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:08:41,1,2,14,0,0,1,0,30,15,2,1,2,8,6,0,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.667,7.112,3,128.0,W,NCTL,ND,2.6333333333333333,5.75,1622.4738830329932,1295.641396015497,2
14,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:09:11,1,2,15,0,0,1,0,30,30,2,1,2,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.399,2.237,1,130.0,C,NCTL,ND,2.6333333333333333,5.75,1587.7630134552667,1330.3522655932236,2
15,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:09:37,1,2,16,0,0,1,0,30,40,2,2,1,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,4.307,2,97.0,BW,NCTL,D,2.6333333333333333,5.75,1555.1693898087005,1362.9458892397897,2
16,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:10:20,1,2,17,0,0,1,0,40,40,2,1,2,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.245,5.499,1,124.0,BC,NCTL,,2.6333333333333333,5.75,1565.1101438877965,1353.0051351606937,2
17,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:10:45,1,2,18,0,0,1,0,40,AD,2,1,2,9,9,2,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,15.194,16.594,3,116.0,C,NCTL,ND,2.6333333333333333,5.75,1534.2207434239838,1383.8945356245065,2
18,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:11:24,1,3,19,0,0,1,1,0,0,1,1,1,10,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899,1.073,1,126.0,C,CTL,,3.59375,1.4,1506.0696782894697,1412.0456007590205,1
19,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:11:47,1,3,20,0,0,1,1,15,0,1,1,1,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.088,34.756,5,127.0,W,CTL,D,3.59375,1.4,1520.7855885171377,1397.3296905313525,1
20,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:12:17,1,3,21,0,0,1,1,30,0,1,1,2,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.288,10.818,2,114.0,BW,NCTL,D,3.59375,1.4,1533.9636273795672,1384.151651668923,1
21,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:12:44,1,3,22,0,0,1,1,30,15,1,1,1,12,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42.166,32.944,9,127.0,B,NCTL,ND,3.59375,1.4,1505.8372618926219,1412.2780171558684,1
22,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:13:26,1,3,23,0,0,1,1,40,15,1,2,1,13,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.782,4.479,1,103.0,BC,NCTL,D,3.59375,1.4,1520.5780710225708,1397.5372080259194,1
23,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:15:31,1,4,24,0,0,2,1,0,0,2,2,2,13,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.601,13.713,3,107.0,BC,NCTL,ND,2.6333333333333333,5.25,1533.7772301089476,1384.3380489395427,2
24,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:16:15,1,4,25,0,0,2,1,0,15,2,1,2,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.925,13.976,3,111.0,BW,NCTL,ND,2.6333333333333333,5.25,1505.6687893163607,1412.4464897321295,2
25,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:16:47,1,4,26,0,0,2,1,0,30,2,1,2,13,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903,1.067,1,125.0,C,NCTL,,2.6333333333333333,5.25,1480.4276579706657,1437.6876210778246,2
26,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:17:08,1,4,27,0,0,2,1,0,40,2,1,2,13,14,2,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.027,7.402,3,126.0,W,NCTL,,2.6333333333333333,5.25,1457.9796795452132,1460.135599503277,2
27,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:17:49,1,5,28,0,0,2,2,0,0,1,1,1,14,14,0,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.352,29.366,5,116.0,W,CTL,ND,3.393939393939394,1.5,1438.1037826812833,1480.011496367207,1
28,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:18:25,1,5,29,0,0,2,2,15,0,1,1,1,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.285,8.276,1,129.0,C,NCTL,ND,3.393939393939394,1.5,1460.5045527783989,1457.6107262700914,1
29,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:18:50,1,5,30,0,0,2,2,30,0,1,1,1,16,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11.974,12.523,3,110.0,BC,NCTL,ND,3.393939393939394,1.5,1480.3379745859497,1437.7773044625405,1
30,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:19:20,1,5,31,0,0,2,2,40,0,1,2,2,16,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.609,6.965,2,113.0,BC,NCTL,ND,3.393939393939394,1.5,1497.9001672968795,1420.2151117516107,1
31,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:20:03,1,5,32,0,0,2,2,40,15,1,2,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.518,12.74,2,104.0,BC,NCTL,D,3.393939393939394,1.5,1473.5013196134817,1444.6139594350086,1
32,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:20:55,1,5,33,0,0,2,2,40,30,1,1,2,16,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.859,11.439,2,111.0,B,CTL,D,3.393939393939394,1.5,1451.8422507821826,1466.2730282663076,1
33,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:21:27,1,5,34,0,0,2,2,40,40,1,2,1,17,17,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,30.782,25.6,5,97.0,C,CTL,D,3.393939393939394,1.5,1432.672475739704,1485.4428033087863,1
34,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:22:19,1,5,35,0,0,2,2,AD,40,1,1,1,18,17,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6.824,9.574,1,114.0,C,NCTL,D,3.393939393939394,1.5,1455.6870344829208,1462.4282445655695,1
35,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:24:22,1,6,36,0,0,3,2,0,0,2,1,2,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.809,6.11,1,110.0,W,CTL,ND,2.7037037037037037,4.8,1476.0750410396902,1442.0402380088,2
36,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:24:53,1,6,37,0,0,3,2,0,15,2,2,1,19,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29.094,29.593,6,90.0,BW,NCTL,ND,2.7037037037037037,4.8,1454.1220832652582,1463.993195783232,2
37,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:26:05,1,6,38,0,0,3,2,15,15,2,1,2,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.815,5.189,1,125.0,C,NCTL,D,2.7037037037037037,4.8,1474.690157336201,1443.4251217122892,2
38,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:26:30,1,6,39,0,0,3,2,15,30,2,1,2,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.678,2.617,1,127.0,B,NCTL,ND,2.7037037037037037,4.8,1452.895239584974,1465.2200394635163,2
39,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:26:56,1,6,40,0,0,3,2,15,40,2,2,2,19,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.043,4.667,1,111.0,BW,NCTL,ND,2.7037037037037037,4.8,1433.6044146516606,1484.5108643968297,2
40,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:27:42,1,7,41,0,0,3,3,0,0,1,2,1,20,21,0,0,0,0,1,0,B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34.233,32.677,9,107.0,BW,NCTL,ND,3.185185185185185,1.4,1416.5140337043665,1501.6012453441238,1
41,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:28:37,1,7,42,0,0,3,3,15,0,1,1,1,21,21,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9.872,19.138,3,120.0,C,NCTL,ND,3.185185185185185,1.4,1441.316419199659,1476.7988598488312,1
42,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:29:06,1,7,43,0,0,3,3,30,0,1,1,1,22,21,0,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.277,11.043,3,115.0,W,CTL,ND,3.185185185185185,1.4,1463.3518810620983,1454.763397986392,1
43,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:29:32,1,7,44,0,0,3,3,40,0,1,2,2,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.076,18.664,6,104.0,BW,NCTL,D,3.185185185185185,1.4,1482.8575889112892,1435.257690137201,1
44,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:30:17,1,7,45,0,0,3,3,40,15,1,2,1,23,22,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31.727,25.324,5,101.0,B,NCTL,D,3.185185185185185,1.4,1460.1345344090296,1457.9807446394607,1
45,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:32:34,1,8,46,0,0,4,3,0,0,2,1,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.879,4.853,1,132.0,C,CTL,D,2.0,4.666666666666667,1480.0105538917494,1438.1047251567409,2
46,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:32:57,1,8,47,0,0,4,3,0,15,2,2,1,24,23,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.929,0.93,0,,W,CTL,,2.0,4.666666666666667,1457.609890737704,1460.5053883107862,2
47,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:33:33,1,8,48,0,0,4,3,15,15,2,1,2,24,24,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.427,0.849,1,130.0,C,CTL,,2.0,4.666666666666667,1477.7765651176974,1440.338713930793,2
48,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:33:58,1,8,49,0,0,4,3,15,30,2,2,1,25,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17.838,18.464,6,101.0,BW,NCTL,D,2.0,4.666666666666667,1455.6297716171355,1462.4855074313548,2
49,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:34:46,1,8,50,0,0,4,3,30,30,2,2,1,26,24,0,0,0,0,1,0,F,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61.781,54.356,16,106.0,B,NCTL,D,2.0,4.666666666666667,1476.0243682812932,1442.090910767197,2
50,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:36:02,1,8,51,0,0,4,3,40,30,2,2,1,27,24,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,29.677,19.121,6,106.0,B,NCTL,ND,2.0,4.666666666666667,1494.0771889611526,1424.0380900873377,2
51,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:37:18,1,9,52,0,0,5,3,0,0,1,1,1,28,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.341,4.725,1,115.0,BW,NCTL,D,3.966666666666667,1.3333333333333333,1510.0991553747021,1408.0161236737881,1
52,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:37:44,1,9,53,0,0,5,3,15,0,1,2,2,28,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.528,7.524,2,100.0,BW,NCTL,D,3.966666666666667,1.3333333333333333,1524.3862426240935,1393.7290364243968,1
53,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:38:26,1,9,54,0,0,5,3,15,15,1,1,1,29,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.227,6.116,1,122.0,BC,NCTL,D,3.966666666666667,1.3333333333333333,1497.2005951115887,1420.9146839369016,1
54,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:38:54,1,9,55,0,0,5,3,30,15,1,1,2,29,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11.654,11.702,4,115.0,C,NCTL,ND,3.966666666666667,1.3333333333333333,1512.8784600300414,1405.2368190184488,1
55,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:39:29,1,9,56,0,0,5,3,30,30,1,1,1,30,26,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11.34,11.519,3,129.0,C,NCTL,ND,3.966666666666667,1.3333333333333333,1486.8730379473247,1431.2422411011655,1
56,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:40:01,1,9,57,0,0,5,3,40,30,1,1,2,30,27,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9.299,8.077,2,113.0,BW,NCTL,,3.966666666666667,1.3333333333333333,1503.69776136934,1414.4175176791503,1
57,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:40:33,1,9,58,0,0,5,3,40,40,1,1,1,31,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31.428,29.751,7,114.0,BW,NCTL,D,3.966666666666667,1.3333333333333333,1478.6685905077004,1439.4466885407899,1
58,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:41:23,1,9,59,0,0,5,3,AD,40,1,2,2,31,28,0,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,16.514,17.962,4,88.0,BW,NCTL,ND,3.966666666666667,1.3333333333333333,1496.4203388711758,1421.6949401773145,1
59,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:42:31,1,9,60,0,0,5,3,40,40,1,1,2,31,29,0,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,21.882,23.411,6,123.0,BC,NCTL,D,3.966666666666667,1.3333333333333333,1472.1839214670315,1445.9313575814588,1
60,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:43:18,1,9,61,0,0,5,3,40,AD,1,1,1,32,29,0,0,0,0,1,0,B,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18.705,28.259,7,121.0,BC,NCTL,ND,3.966666666666667,1.3333333333333333,1450.6755719378084,1467.4397071106819,1
61,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:43:59,1,9,62,0,0,5,3,40,40,1,1,1,33,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.109,3.14,1,130.0,C,NCTL,ND,3.966666666666667,1.3333333333333333,1471.6398449187902,1446.4754341297,1
62,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:44:29,1,9,63,0,0,5,3,AD,40,1,1,1,34,29,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,16.592,19.606,3,132.0,BW,NCTL,ND,3.966666666666667,1.3333333333333333,1490.1937927496815,1427.9214862988088,1
63,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:47:04,2,1,64,1,0,0,0,0,0,2,1,2,34,30,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.621,0.843,1,123.0,C,NCTL,,3.433333333333333,5.25,1506.6470095211719,1411.4682695273184,2
64,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:47:27,2,1,65,1,0,0,0,0,15,2,1,2,34,31,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896,0.864,1,117.0,C,NCTL,,3.433333333333333,5.25,1481.3011462154577,1436.8141328330325,2
65,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:47:52,2,1,66,1,0,0,0,0,30,2,1,2,34,32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3.619,3.818,1,123.0,B,NCTL,ND,3.433333333333333,5.25,1458.754172100204,1459.3611069482863,2
66,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:48:17,2,1,67,1,0,0,0,0,40,2,1,2,34,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33,6.471,1,122.0,C,CTL,ND,3.433333333333333,5.25,1438.7891100430047,1479.3261690054856,2
67,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:49:17,2,2,68,1,0,0,1,0,0,1,1,1,35,33,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.827,1.015,1,127.0,C,NCTL,,3.175,1.125,1421.112079379064,1497.0031996694263,1
68,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:49:38,2,2,69,1,0,0,1,15,0,1,2,1,36,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.754,3.715,1,102.0,BW,NCTL,ND,3.175,1.125,1445.4125445106204,1472.70273453787,1
69,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:50:14,2,2,70,1,0,0,1,30,0,1,2,2,36,34,0,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.314,3.801,2,111.0,BW,NCTL,D,3.175,1.125,1466.9802713162935,1451.1350077321968,1
70,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:51:10,2,2,71,1,0,0,1,30,15,1,1,2,36,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35.48,40.171,12,118.0,BC,NCTL,D,3.175,1.125,1446.0687764864388,1472.0465025620515,1
71,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:51:54,2,2,72,1,0,0,1,30,30,1,1,1,37,35,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824,1.682,1,126.0,C,NCTL,,3.175,1.125,1427.5613941305467,1490.5538849179436,1
72,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:52:21,2,2,73,1,0,0,1,40,30,1,2,2,37,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.674,13.243,2,97.0,W,CTL,ND,3.175,1.125,1451.1483158965543,1466.966963151936,1
73,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:53:06,2,2,74,1,0,0,1,40,40,1,2,2,37,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.494,9.222,2,105.0,BC,NCTL,D,3.175,1.125,1432.0582817444122,1486.056997304078,1
74,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:54:11,2,2,75,1,0,0,1,40,AD,1,1,2,37,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8.235,10.59,2,129.0,B,NCTL,ND,3.175,1.125,1415.141908596791,1502.9733704516993,1
75,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:54:56,2,3,76,1,0,0,2,0,0,2,1,2,37,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.125,7.455,1,126.0,C,CTL,D,2.8,4.5,1400.0928727297985,1518.0224063186918,2
76,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:55:20,2,3,77,1,0,0,2,0,15,2,1,2,37,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.712,11.06,1,128.0,W,CTL,ND,2.8,4.5,1386.6322141755577,1531.4830648729326,2
77,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:55:50,2,3,78,1,0,0,2,0,30,2,1,2,37,41,0,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.788,5.077,3,108.0,BW,NCTL,D,2.8,4.5,1374.5187678540995,1543.5965111943908,2
78,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:57:08,2,3,79,1,0,0,2,0,40,2,2,2,37,42,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33.044,35.246,7,101.0,W,CTL,D,2.8,4.5,1363.5497568383714,1554.5655222101188,2
79,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:59:22,2,4,80,1,0,0,3,0,0,1,2,2,37,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.924,44.017,10,106.0,B,NCTL,D,3.5588235294117645,1.25,1353.5569764450574,1564.5583026034328,1
