match_id,player1,player2,elapsed_time,set_no,point_no,p1_sets,p2_sets,game_no,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,player1_quality,player2_quality,elo1,elo2
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:07:05,1,11,0,0,2,1,0,0,0,2,1,2,6,5,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.785,4.915,1,112,W,CTL,D,2.633333333,5.75,1646.824598,1271.290681
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:07:28,1,12,0,0,2,1,0,0,1,2,1,1,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.744,18.244,4,130,W,NCTL,D,2.633333333,5.75,1610.954142,1307.161137
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:08:06,1,13,0,0,2,1,0,1,1,2,1,1,8,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26.013,18.626,4,120,C,NCTL,D,2.633333333,5.75,1616.882222,1301.233057
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:08:41,1,14,0,0,2,1,0,2,1,2,1,2,8,6,2,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.667,7.112,3,128,W,NCTL,ND,2.633333333,5.75,1622.473883,1295.641396
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:09:11,1,15,0,0,2,1,0,2,2,2,1,2,8,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.399,2.237,1,130,C,NCTL,ND,2.633333333,5.75,1587.763013,1330.352266
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:09:37,1,16,0,0,2,1,0,2,3,2,2,1,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,4.307,2,97,BW,NCTL,D,2.633333333,5.75,1555.16939,1362.945889
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:10:20,1,17,0,0,2,1,0,3,3,2,1,2,9,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.245,5.499,1,124,BC,NCTL,,2.633333333,5.75,1565.110144,1353.005135
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:10:45,1,18,0,0,2,1,0,3,4,2,1,2,9,9,2,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,15.194,16.594,3,116,C,NCTL,ND,2.633333333,5.75,1534.220743,1383.894536
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:11:24,1,19,0,0,3,1,1,0,0,1,1,1,10,9,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899,1.073,1,126,C,CTL,,3.59375,1.4,1506.069678,1412.045601
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:11:47,1,20,0,0,3,1,1,1,0,1,1,1,11,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.088,34.756,5,127,W,CTL,D,3.59375,1.4,1520.785589,1397.329691
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:12:17,1,21,0,0,3,1,1,2,0,1,1,2,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.288,10.818,2,114,BW,NCTL,D,3.59375,1.4,1533.963627,1384.151652
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:12:44,1,22,0,0,3,1,1,2,1,1,1,1,12,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42.166,32.944,9,127,B,NCTL,ND,3.59375,1.4,1505.837262,1412.278017
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:13:26,1,23,0,0,3,1,1,3,1,1,2,1,13,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.782,4.479,1,103,BC,NCTL,D,3.59375,1.4,1520.578071,1397.537208
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:15:31,1,24,0,0,4,2,1,0,0,2,2,2,13,11,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.601,13.713,3,107,BC,NCTL,ND,2.633333333,5.25,1533.77723,1384.338049
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:16:15,1,25,0,0,4,2,1,0,1,2,1,2,13,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.925,13.976,3,111,BW,NCTL,ND,2.633333333,5.25,1505.668789,1412.44649
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:16:47,1,26,0,0,4,2,1,0,2,2,1,2,13,13,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903,1.067,1,125,C,NCTL,,2.633333333,5.25,1480.427658,1437.687621
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:17:08,1,27,0,0,4,2,1,0,3,2,1,2,13,14,2,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.027,7.402,3,126,W,NCTL,,2.633333333,5.25,1457.97968,1460.1356
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:17:49,1,28,0,0,5,2,2,0,0,1,1,1,14,14,1,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.352,29.366,5,116,W,CTL,ND,3.393939394,1.5,1438.103783,1480.011496
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:18:25,1,29,0,0,5,2,2,1,0,1,1,1,15,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.285,8.276,1,129,C,NCTL,ND,3.393939394,1.5,1460.504553,1457.610726
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:18:50,1,30,0,0,5,2,2,2,0,1,1,1,16,14,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11.974,12.523,3,110,BC,NCTL,ND,3.393939394,1.5,1480.337975,1437.777304
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:19:20,1,31,0,0,5,2,2,3,0,1,2,2,16,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.609,6.965,2,113,BC,NCTL,ND,3.393939394,1.5,1497.900167,1420.215112
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:20:03,1,32,0,0,5,2,2,3,1,1,2,2,16,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.518,12.74,2,104,BC,NCTL,D,3.393939394,1.5,1473.50132,1444.613959
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:20:55,1,33,0,0,5,2,2,3,2,1,1,2,16,17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.859,11.439,2,111,B,CTL,D,3.393939394,1.5,1451.842251,1466.273028
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:21:27,1,34,0,0,5,2,2,3,3,1,2,1,17,17,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,30.782,25.6,5,97,C,CTL,D,3.393939394,1.5,1432.672476,1485.442803
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:22:19,1,35,0,0,5,2,2,4,3,1,1,1,18,17,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6.824,9.574,1,114,C,NCTL,D,3.393939394,1.5,1455.687034,1462.428245
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:24:22,1,36,0,0,6,3,2,0,0,2,1,2,18,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.809,6.11,1,110,W,CTL,ND,2.703703704,4.8,1476.075041,1442.040238
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:24:53,1,37,0,0,6,3,2,0,1,2,2,1,19,18,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29.094,29.593,6,90,BW,NCTL,ND,2.703703704,4.8,1454.122083,1463.993196
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:26:05,1,38,0,0,6,3,2,1,1,2,1,2,19,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.815,5.189,1,125,C,NCTL,D,2.703703704,4.8,1474.690157,1443.425122
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:26:30,1,39,0,0,6,3,2,1,2,2,1,2,19,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.678,2.617,1,127,B,NCTL,ND,2.703703704,4.8,1452.89524,1465.220039
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:26:56,1,40,0,0,6,3,2,1,3,2,2,2,19,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.043,4.667,1,111,BW,NCTL,ND,2.703703704,4.8,1433.604415,1484.510864
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:27:42,1,41,0,0,7,3,3,0,0,1,2,1,20,21,1,0,0,0,1,0,B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34.233,32.677,9,107,BW,NCTL,ND,3.185185185,1.4,1416.514034,1501.601245
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:28:37,1,42,0,0,7,3,3,1,0,1,1,1,21,21,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9.872,19.138,3,120,C,NCTL,ND,3.185185185,1.4,1441.316419,1476.79886
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:29:06,1,43,0,0,7,3,3,2,0,1,1,1,22,21,1,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.277,11.043,3,115,W,CTL,ND,3.185185185,1.4,1463.351881,1454.763398
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:29:32,1,44,0,0,7,3,3,3,0,1,2,2,22,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.076,18.664,6,104,BW,NCTL,D,3.185185185,1.4,1482.857589,1435.25769
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:30:17,1,45,0,0,7,3,3,3,1,1,2,1,23,22,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31.727,25.324,5,101,B,NCTL,D,3.185185185,1.4,1460.134534,1457.980745
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:32:34,1,46,0,0,8,4,3,0,0,2,1,2,23,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.879,4.853,1,132,C,CTL,D,2,4.666666667,1480.010554,1438.104725
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:32:57,1,47,0,0,8,4,3,0,1,2,2,1,24,23,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.929,0.93,0,,W,CTL,,2,4.666666667,1457.609891,1460.505388
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:33:33,1,48,0,0,8,4,3,1,1,2,1,2,24,24,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.427,0.849,1,130,C,CTL,,2,4.666666667,1477.776565,1440.338714
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:33:58,1,49,0,0,8,4,3,1,2,2,2,1,25,24,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17.838,18.464,6,101,BW,NCTL,D,2,4.666666667,1455.629772,1462.485507
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:34:46,1,50,0,0,8,4,3,2,2,2,2,1,26,24,1,0,0,0,1,0,F,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61.781,54.356,16,106,B,NCTL,D,2,4.666666667,1476.024368,1442.090911
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:36:02,1,51,0,0,8,4,3,3,2,2,2,1,27,24,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,29.677,19.121,6,106,B,NCTL,ND,2,4.666666667,1494.077189,1424.03809
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:37:18,1,52,0,0,9,5,3,0,0,1,1,1,28,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.341,4.725,1,115,BW,NCTL,D,3.966666667,1.333333333,1510.099155,1408.016124
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:37:44,1,53,0,0,9,5,3,1,0,1,2,2,28,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.528,7.524,2,100,BW,NCTL,D,3.966666667,1.333333333,1524.386243,1393.729036
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:38:26,1,54,0,0,9,5,3,1,1,1,1,1,29,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.227,6.116,1,122,BC,NCTL,D,3.966666667,1.333333333,1497.200595,1420.914684
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:38:54,1,55,0,0,9,5,3,2,1,1,1,2,29,26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11.654,11.702,4,115,C,NCTL,ND,3.966666667,1.333333333,1512.87846,1405.236819
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:39:29,1,56,0,0,9,5,3,2,2,1,1,1,30,26,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11.34,11.519,3,129,C,NCTL,ND,3.966666667,1.333333333,1486.873038,1431.242241
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:40:01,1,57,0,0,9,5,3,3,2,1,1,2,30,27,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9.299,8.077,2,113,BW,NCTL,,3.966666667,1.333333333,1503.697761,1414.417518
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:40:33,1,58,0,0,9,5,3,3,3,1,1,1,31,27,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31.428,29.751,7,114,BW,NCTL,D,3.966666667,1.333333333,1478.668591,1439.446689
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:41:23,1,59,0,0,9,5,3,4,3,1,2,2,31,28,1,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,16.514,17.962,4,88,BW,NCTL,ND,3.966666667,1.333333333,1496.420339,1421.69494
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:42:31,1,60,0,0,9,5,3,3,3,1,1,2,31,29,1,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,21.882,23.411,6,123,BC,NCTL,D,3.966666667,1.333333333,1472.183921,1445.931358
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:43:18,1,61,0,0,9,5,3,3,4,1,1,1,32,29,1,0,0,0,1,0,B,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18.705,28.259,7,121,BC,NCTL,ND,3.966666667,1.333333333,1450.675572,1467.439707
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:43:59,1,62,0,0,9,5,3,3,3,1,1,1,33,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.109,3.14,1,130,C,NCTL,ND,3.966666667,1.333333333,1471.639845,1446.475434
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:44:29,1,63,0,0,9,5,3,4,3,1,1,1,34,29,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,16.592,19.606,3,132,BW,NCTL,ND,3.966666667,1.333333333,1490.193793,1427.921486
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:47:04,2,64,1,0,1,0,0,0,0,2,1,2,34,30,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.621,0.843,1,123,C,NCTL,,3.433333333,5.25,1506.64701,1411.46827
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:47:27,2,65,1,0,1,0,0,0,1,2,1,2,34,31,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896,0.864,1,117,C,NCTL,,3.433333333,5.25,1481.301146,1436.814133
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:47:52,2,66,1,0,1,0,0,0,2,2,1,2,34,32,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3.619,3.818,1,123,B,NCTL,ND,3.433333333,5.25,1458.754172,1459.361107
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:48:17,2,67,1,0,1,0,0,0,3,2,1,2,34,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33,6.471,1,122,C,CTL,ND,3.433333333,5.25,1438.78911,1479.326169
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:49:17,2,68,1,0,2,0,1,0,0,1,1,1,35,33,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.827,1.015,1,127,C,NCTL,,3.175,1.125,1421.112079,1497.0032
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:49:38,2,69,1,0,2,0,1,1,0,1,2,1,36,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.754,3.715,1,102,BW,NCTL,ND,3.175,1.125,1445.412545,1472.702735
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:50:14,2,70,1,0,2,0,1,2,0,1,2,2,36,34,2,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.314,3.801,2,111,BW,NCTL,D,3.175,1.125,1466.980271,1451.135008
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:51:10,2,71,1,0,2,0,1,2,1,1,1,2,36,35,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35.48,40.171,12,118,BC,NCTL,D,3.175,1.125,1446.068776,1472.046503
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:51:54,2,72,1,0,2,0,1,2,2,1,1,1,37,35,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824,1.682,1,126,C,NCTL,,3.175,1.125,1427.561394,1490.553885
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:52:21,2,73,1,0,2,0,1,3,2,1,2,2,37,36,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.674,13.243,2,97,W,CTL,ND,3.175,1.125,1451.148316,1466.966963
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:53:06,2,74,1,0,2,0,1,3,3,1,2,2,37,37,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.494,9.222,2,105,BC,NCTL,D,3.175,1.125,1432.058282,1486.056997
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:54:11,2,75,1,0,2,0,1,3,4,1,1,2,37,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8.235,10.59,2,129,B,NCTL,ND,3.175,1.125,1415.141909,1502.97337
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:54:56,2,76,1,0,3,0,2,0,0,2,1,2,37,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.125,7.455,1,126,C,CTL,D,2.8,4.5,1400.092873,1518.022406
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:55:20,2,77,1,0,3,0,2,0,1,2,1,2,37,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.712,11.06,1,128,W,CTL,ND,2.8,4.5,1386.632214,1531.483065
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:55:50,2,78,1,0,3,0,2,0,2,2,1,2,37,41,2,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.788,5.077,3,108,BW,NCTL,D,2.8,4.5,1374.518768,1543.596511
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:57:08,2,79,1,0,3,0,2,0,3,2,2,2,37,42,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33.044,35.246,7,101,W,CTL,D,2.8,4.5,1363.549757,1554.565522
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:59:22,2,80,1,0,4,0,3,0,0,1,2,2,37,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.924,44.017,10,106,B,NCTL,D,3.558823529,1.25,1353.556976,1564.558303
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1:00:17,2,81,1,0,4,0,3,0,1,1,1,1,38,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.013,9.173,1,111,C,NCTL,ND,3.558823529,1.25,1344.401601,1573.713678
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1:00:41,2,82,1,0,4,0,3,1,1,1,1,1,39,43,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.761,0.939,1,110,W,CTL,,3.558823529,1.25,1375.969045,1542.146234
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1:01:21,2,83,1,0,4,0,3,2,1,1,1,2,39,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.844,40.876,8,119,C,CTL,D,3.558823529,1.25,1404.866609,1513.24867
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1:02:05,2,84,1,0,4,0,3,2,2,1,2,2,39,45,1,0,0,0,0,1,B,0,0,0,0,0,1,0,1,0,0,0,0,0,0,12.977,15.558,4,95,C,NCTL,ND,3.558823529,1.25,1390.910786,1527.204494
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1:02:54,2,85,1,0,4,0,3,2,3,1,2,1,40,45,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,9.419,12.316,3,95,B,NCTL,ND,3.558823529,1.25,1378.377351,1539.737928
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1:03:50,2,86,1,0,4,0,3,3,3,1,1,1,41,45,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.306,18.004,3,102,BW,CTL,ND,3.558823529,1.25,1407.051159,1511.06412
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1:04:21,2,87,1,0,4,0,3,4,3,1,2,1,42,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.74,38.948,11,120,B,NCTL,D,3.558823529,1.25,1432.86594,1485.249339
